date,event_count,pos_count,neg_count,sentiment_sum,sentiment_mean,max_abs_sentiment
2020-08-28,1,1,0,0.85,0.85,0.85
2020-08-31,3,0,3,-2.55,-0.85,0.9
2020-09-04,1,0,1,-0.85,-0.85,0.85
2020-09-29,1,0,1,-0.85,-0.85,0.85
2020-10-08,1,0,1,-0.75,-0.75,0.75
2020-11-17,1,0,1,-0.85,-0.85,0.85
2020-12-10,1,0,1,-0.9,-0.9,0.9
2020-12-11,3,1,2,-0.95,-0.316667,0.9
2020-12-12,2,0,2,-1.7,-0.85,0.85
2020-12-14,1,0,1,-0.9,-0.9,0.9
2020-12-16,1,0,1,-0.85,-0.85,0.85
2020-12-18,1,1,0,0.9,0.9,0.9
2020-12-21,2,0,2,-1.8,-0.9,0.9
2020-12-22,2,0,2,-1.8,-0.9,0.9
2020-12-23,2,1,1,0.05,0.025,0.9
2020-12-24,1,0,0,0.0,0.0,0.0
2020-12-28,1,0,1,-0.9,-0.9,0.9
2020-12-29,1,0,1,-0.85,-0.85,0.85
2020-12-30,6,6,0,5.2,0.866667,0.9
2020-12-31,6,3,3,0.1,0.016667,0.9
2021-01-07,2,2,0,1.8,0.9,0.95
2021-01-08,1,1,0,0.9,0.9,0.9
2021-01-11,3,0,3,-2.6,-0.866667,0.9
2021-01-12,2,1,1,0.2,0.1,0.95
2021-01-13,2,0,2,-1.7,-0.85,0.85
2021-01-14,3,1,2,-0.9,-0.3,0.9
2021-01-15,2,1,1,0.0,0.0,0.85
2021-01-18,2,1,1,0.0,0.0,0.9
2021-01-19,1,0,1,-0.85,-0.85,0.85
2021-01-20,2,2,0,1.75,0.875,0.9
2021-01-21,2,0,2,-1.75,-0.875,0.9
2021-01-22,1,0,1,-0.9,-0.9,0.9
2021-01-24,1,1,0,0.9,0.9,0.9
2021-01-25,3,1,2,-0.85,-0.283333,0.85
2021-01-26,1,0,1,-0.75,-0.75,0.75
2021-01-27,3,2,0,1.75,0.583333,0.9
2021-01-28,4,2,2,-0.05,-0.0125,0.9
2021-01-29,1,0,1,-0.85,-0.85,0.85
2021-02-01,1,1,0,0.85,0.85,0.85
2021-02-04,2,1,1,0.0,0.0,0.9
2021-02-05,1,1,0,0.9,0.9,0.9
2021-02-09,3,2,1,0.8,0.266667,0.9
2021-02-10,3,3,0,2.65,0.883333,0.9
2021-02-11,3,0,3,-2.65,-0.883333,0.9
2021-02-12,2,2,0,1.8,0.9,0.9
2021-02-15,2,1,1,0.0,0.0,0.9
2021-02-16,2,2,0,1.75,0.875,0.9
2021-02-17,2,1,1,0.05,0.025,0.95
2021-02-18,2,1,1,0.0,0.0,0.9
2021-02-19,3,0,3,-2.7,-0.9,0.9
2021-02-22,3,2,1,0.95,0.316667,0.95
2021-02-23,1,1,0,0.9,0.9,0.9
2021-02-24,4,3,1,1.8,0.45,0.9
2021-02-25,4,1,2,-0.85,-0.2125,0.9
2021-02-26,2,0,2,-1.6,-0.8,0.85
2021-03-01,4,1,2,-0.8,-0.2,0.9
2021-03-02,5,1,1,-0.05,-0.01,0.9
2021-03-03,4,0,4,-3.45,-0.8625,0.9
2021-03-04,1,0,1,-0.85,-0.85,0.85
2021-03-05,3,2,1,1.05,0.35,0.9
2021-03-07,2,1,1,0.1,0.05,0.95
2021-03-08,2,0,2,-1.65,-0.825,0.85
2021-03-09,2,1,0,0.9,0.45,0.9
2021-03-10,6,3,3,0.0,0.0,0.9
2021-03-11,2,1,0,0.85,0.425,0.85
2021-03-12,2,1,1,-0.05,-0.025,0.85
2021-03-15,1,1,0,0.9,0.9,0.9
2021-03-16,3,2,1,0.85,0.283333,0.9
2021-03-17,5,1,2,-0.8,-0.16,0.9
2021-03-18,2,1,1,-0.05,-0.025,0.9
2021-03-19,4,1,3,-1.75,-0.4375,0.9
2021-03-22,2,0,2,-1.7,-0.85,0.85
